customerid,accesskey,firstname,lastname,companyname,billingaddress1,billingaddress2,city,state,postalcode,country,phonenumber,faxnumber,emailaddress,paysstatetax,taxid,emailsubscriber,catalogsubscriber,lastmodified,percentdiscount,websiteaddress,discountlevel,customertype,lastmodby,customer_isanonymous,issuperadmin,news1,news2,news3,news4,news5,news6,news7,news8,news9,news10,news11,news12,news13,news14,news15,news16,news17,news18,news19,news20,allow_access_to_private_sections,customer_notes,salesrep_customerid,id_customers_groups,custom_field_custom1,custom_field_custom2,custom_field_custom3,custom_field_custom4,custom_field_custom5,removed_from_rewards,restrictedpaymentmethodids,restrictedshippingmethodids,createddate,restrictedfreeshipping
"0","","","","","","","","","","","","","ROITracker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","A","Michele","Pelafas","","517 S Fairfield Avenue","","Elmhurst","IL","60126","United States","6309907750","","michele@spainteriors.com","","04A2D67954D0E642174F65B42D3CB69B092CF3D2B58B30A27188058420AC49FF","Y","N","5/16/2014 4:24:00 PM","","www.inola.com","","","1","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","","","","","N","","","",""
"3104","C","","","","","","","","","","","","glara_5@hotmail.com","","","Y","","12/18/2013 2:12:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3105","C","Janette","Resch","","3029 E Mackay Dr","","Meridian","","83642","United States","2088301478","","reschjan@msn.com","","07D055CC5D30319593266EDA5A5B7B952133874C5CD6A41EA92E840478F0F2DB","Y","","12/18/2013 1:51:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3106","C","Maricella","Valdez","","3131 W Painted Hills Ranch Court","","Tucsan","AZ","85745","United States","520-954-3311","","anonymous_user","","","","","8/16/2016 12:02:00 PM","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3107","C","","","","","","","","","","","","redpearl13@outlook.com","","","Y","","12/18/2013 9:48:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3108","C","Yasmin","McGinnis","The Divine Treatment Room and Spa","15 Corn Row Court","","Newnan","GA","30263","United States","404-401-0421","","Yasmin.mcginnis@gmail.com","","","Y","","12/19/2013 12:40:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3109","C","","","","","","","","","","","","andinasholm@ymail.com","","","Y","","12/27/2013 1:58:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3110","C","Valerie","Putman","","704 S. Villa Ave","","Villa Park","IL","60181","United States","60181","","vmalavolti@hotmail.com","","","Y","","12/27/2013 2:10:00 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3113","C","","","","","","","","","","","","Brennanredsplash@yahoo.com","","","Y","","12/30/2013 4:20:00 AM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
